index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by
62,404-2262140-4696366,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,295,NAGPUR,MAHARASHTRA,440022,IN,FALSE,
63,405-3594372-1614709,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE,
64,407-2974257-4781134,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,824,THANE,MAHARASHTRA,400607,IN,FALSE,
65,171-4137548-0481151,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XXL,Cancelled,0,,,Dahod,Gujarat,389151,IN,FALSE,
66,405-4461562-9113959,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,909,RANCHI,JHARKHAND,834004,IN,FALSE,
67,404-4535078-5241919,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,L,Shipped,1,INR,432,PUNE,MAHARASHTRA,411014,IN,FALSE,
68,405-8387725-2971512,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,545,BENGALURU,KARNATAKA,560040,IN,FALSE,
69,405-6480932-8759528,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1146,VIJAPURA,KARNATAKA,586201,IN,FALSE,
70,405-9966506-3155561,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,696,CHENNAI,TAMIL NADU,600041,IN,FALSE,Easy Ship
71,408-7029737-8028367,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,432,MUMBAI,MAHARASHTRA,400080,IN,FALSE,
72,407-2189901-7515567,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,631,bangalore,KARNATAKA,560001,IN,FALSE,Easy Ship
73,402-2105657-2899562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,316,BENGALURU,KARNATAKA,560098,IN,FALSE,
74,406-1326801-8886709,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,362,BERHAMPUR,ODISHA,760002,IN,FALSE,Easy Ship
75,408-7760667-5809130,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,329,HYDERABAD,TELANGANA,500085,IN,FALSE,
76,405-8457623-9269955,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399,PUNE,MAHARASHTRA,411045,IN,FALSE,
77,408-6820155-3521913,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,751,TEZPUR,ASSAM,784001,IN,FALSE,
78,403-6190683-2687538,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,791,HIMMATNAGAR,Gujarat,383001,IN,FALSE,
79,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,684,Kolkata,WEST BENGAL,700048,IN,FALSE,
80,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1281,Kolkata,WEST BENGAL,700048,IN,FALSE,
81,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1186,Kolkata,WEST BENGAL,700048,IN,FALSE,
82,171-7367545-7081126,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,499,HYDERABAD,TELANGANA,502032,IN,FALSE,
83,404-6522553-9345930,04-30-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,1105.36,DEHRADUN,UTTARAKHAND,248001,IN,FALSE,Easy Ship
84,403-9950518-0349133,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,M,Cancelled,0,,,HYDERABAD,TELANGANA,500072,IN,FALSE,
85,407-6599093-6553153,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Socks,3XL,Shipped,1,INR,377,KOLKATA,WEST BENGAL,700078,IN,FALSE,Easy Ship
86,403-3763475-2237125,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,M,Shipped,1,INR,744,DHARMAPURI,TAMIL NADU,636705,IN,FALSE,
87,405-1492294-0323520,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,744,DEHRADUN,UTTARAKHAND,248005,IN,FALSE,
88,403-1162895-2484367,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XXL,Shipped,1,INR,859,JAIPUR,RAJASTHAN,303905,IN,FALSE,Easy Ship
89,171-6833843-5473114,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,487,VADODARA,Gujarat,390019,IN,FALSE,
90,403-1477057-8253913,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,3XL,Shipped,1,INR,825,CHAVAKKAD,KERALA,680506,IN,FALSE,
91,408-2114413-6089906,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,680,PATNA,BIHAR,800026,IN,FALSE,
92,405-1879750-2639521,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,725,CHENNAI,TAMIL NADU,600028,IN,FALSE,Easy Ship
93,406-5727754-5302723,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,696,VADODARA,Gujarat,390018,IN,FALSE,
94,405-0901744-8270705,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,499,VADODARA,Gujarat,390003,IN,FALSE,
95,405-9112089-3379536,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,L,Cancelled,0,,,PUNE,MAHARASHTRA,411046,IN,FALSE,
96,408-6357132-2310703,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,696,Jammu,JAMMU & KASHMIR,180011,IN,FALSE,
97,406-5334922-9670748,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,406,bangalore,KARNATAKA,560026,IN,FALSE,
98,402-8519791-3706738,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,852,NEW DELHI,DELHI,110036,IN,FALSE,
99,408-1830318-0357940,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399,NARNAUND,HARYANA,125039,IN,FALSE,
100,406-5103760-7326749,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,432,Ahmedabad,Gujarat,380051,IN,FALSE,
101,402-7841951-1872363,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,S,Cancelled,0,,,NEW DELHI,DELHI,110036,IN,FALSE,
102,408-7698765-2294756,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1338,AMBARNATH,MAHARASHTRA,421502,IN,FALSE,Easy Ship
103,404-1856281-9996319,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,472,GWALIOR,MADHYA PRADESH,474005,IN,FALSE,Easy Ship
104,406-5406738-7113145,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,NEW DELHI,DELHI,110078,IN,FALSE,
105,405-5257740-5301158,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,832,ROHTAK,HARYANA,124001,IN,FALSE,Easy Ship
106,405-5257740-5301158,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,ROHTAK,HARYANA,124001,IN,FALSE,Easy Ship
107,405-2072502-4089911,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,599,ROHTAK,HARYANA,124001,IN,FALSE,
108,405-0882561-5952340,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,692,Kolkata,WEST BENGAL,700156,IN,FALSE,
109,403-7266170-1163500,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,518,MUMBAI,MAHARASHTRA,400076,IN,FALSE,Easy Ship
110,405-8114272-1687512,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,NEW DELHI,DELHI,110034,IN,FALSE,
111,171-6138639-1478731,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,318,HYDERABAD,TELANGANA,500054,IN,FALSE,
112,405-4059216-4541150,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,HYDERABAD,TELANGANA,500072,IN,FALSE,
113,405-1152015-7333945,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,888,PATNA,BIHAR,800002,IN,FALSE,
114,406-0177436-6731556,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,406,RAMAGUNDAM,TELANGANA,505211,IN,FALSE,
115,406-0715107-8168308,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1186,PITHORAGARH,UTTARAKHAND,262501,IN,FALSE,
116,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Unshipped,1,INR,791,HIMMATNAGAR,Gujarat,383001,IN,FALSE,
117,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XL,Unshipped,1,INR,807,HIMMATNAGAR,Gujarat,383001,IN,FALSE,
118,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Unshipped,1,INR,807,HIMMATNAGAR,Gujarat,383001,IN,FALSE,
119,405-3002282-6797102,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,311,KOLKATA,WEST BENGAL,700057,IN,FALSE,
120,407-8466904-3461908,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,XL,Shipped,1,INR,387,MUMBAI,MAHARASHTRA,400101,IN,FALSE,
121,171-3305587-5364338,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,348,HYDERABAD,TELANGANA,500053,IN,FALSE,
122,406-8961316-8137943,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,597,"GUWAHATI, KAMRUP (M)",ASSAM,781014,IN,FALSE,Easy Ship
123,406-8961316-8137943,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,549,"GUWAHATI, KAMRUP (M)",ASSAM,781014,IN,FALSE,Easy Ship
124,171-2813040-8296320,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,635,KOLAR,KARNATAKA,563101,IN,FALSE,
125,408-9845791-1393151,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,PATIALA,PUNJAB,147001,IN,FALSE,
126,402-4277204-2348328,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,790,REWA,MADHYA PRADESH,486001,IN,FALSE,
127,171-3049339-2085136,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,375,BONGAIGAON,ASSAM,783380,IN,FALSE,
128,405-9928526-2470747,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,1115,HYDERABAD,TELANGANA,500087,IN,FALSE,
129,405-4908072-0260360,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,579,BENGALURU,KARNATAKA,560055,IN,FALSE,Easy Ship
130,406-3984186-5973150,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,788,Chengalpattu,TAMIL NADU,603002,IN,FALSE,
131,171-8635309-7508346,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,597,PERAMBALUR,TAMIL NADU,621212,IN,FALSE,
132,171-0293372-4913973,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,,KOLAR,KARNATAKA,563101,IN,FALSE,
133,402-8288606-4313118,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,517,BILASPUR,HIMACHAL PRADESH,174001,IN,FALSE,
134,402-8746990-6412346,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,442,CHENNAI,TAMIL NADU,600099,IN,FALSE,
135,402-0294212-5431551,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,399,VARANASI,UTTAR PRADESH,221010,IN,FALSE,
136,406-1530134-2105912,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,518,BENGALURU,KARNATAKA,560036,IN,FALSE,
137,403-5222550-4437140,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,348,COIMBATORE,TAMIL NADU,641035,IN,FALSE,
138,408-1482435-5202714,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,788,CHIRMIRI,CHHATTISGARH,497449,IN,FALSE,Easy Ship
139,403-6442534-2769112,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Trousers,3XL,Cancelled,0,,,AZAMGARH,UTTAR PRADESH,276302,IN,FALSE,
140,408-3113070-0750756,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,597,KALYAN,MAHARASHTRA,421306,IN,FALSE,
141,404-7796841-1880317,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,696,NEW DELHI,DELHI,110016,IN,FALSE,
142,405-2142542-0941949,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,363,HYDERABAD,TELANGANA,502032,IN,FALSE,
143,405-0286717-7761132,04-30-22,Shipped,Amazon,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,299,HYDERABAD,TELANGANA,502032,IN,FALSE,
144,406-9021273-9221106,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,S,Shipped,1,INR,690,GUWAHATI,ASSAM,781026,IN,FALSE,
145,404-5381335-4577925,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,XS,Shipped,1,INR,574,MYSORE,KARNATAKA,570008,IN,FALSE,
146,171-0131752-2560336,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1399,BARABANKI,UTTAR PRADESH,225001,IN,FALSE,Easy Ship
147,407-4235449-1353916,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,999,AMILA,UTTAR PRADESH,275301,IN,FALSE,Easy Ship
148,171-8061614-5688327,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,999,VIJAYAWADA,ANDHRA PRADESH,520010,IN,FALSE,
149,407-8248783-4261958,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,487,RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,493331,IN,FALSE,
